STUDYID,DOMAIN,USUBJID,SUBJID,RFSTDTC,RFENDTC,AGE,AGETXT,AGEU,SEX,SPECIES,STRAIN,ARMCD,ARM,SETCD
CIPA001,DM,CIPA001-A-EL2,A-EL2,2026-03-22,2026-03-22,,,,U,HUMAN,HIPSC-CM,CTRL,Control,CONTROL
CIPA001,DM,CIPA001-A-EL1,A-EL1,2026-03-22,2026-03-22,,,,U,HUMAN,HIPSC-CM,TRT,Treatment,TERFENAD
CIPA001,DM,CIPA001-C-EL1,C-EL1,2026-03-22,2026-03-22,,,,U,HUMAN,HIPSC-CM,TRT,Treatment,ALFUZOSI
CIPA001,DM,CIPA001-C-EL2,C-EL2,2026-03-22,2026-03-22,,,,U,HUMAN,HIPSC-CM,TRT,Treatment,ALFUZOSI
CIPA001,DM,CIPA001-D-EL1,D-EL1,2026-03-22,2026-03-22,,,,U,HUMAN,HIPSC-CM,TRT,Treatment,ALFUZOSI
CIPA001,DM,CIPA001-D-EL2,D-EL2,2026-03-22,2026-03-22,,,,U,HUMAN,HIPSC-CM,TRT,Treatment,ALFUZOSI
CIPA001,DM,CIPA001-E-EL1,E-EL1,2026-03-22,2026-03-22,,,,U,HUMAN,HIPSC-CM,TRT,Treatment,DOFETILI
CIPA001,DM,CIPA001-E-EL2,E-EL2,2026-03-22,2026-03-22,,,,U,HUMAN,HIPSC-CM,TRT,Treatment,DOFETILI
CIPA001,DM,CIPA001-B-EL2,B-EL2,2026-03-22,2026-03-22,,,,U,HUMAN,HIPSC-CM,TRT,Treatment,ALFUZOSI
CIPA001,DM,CIPA001-B-EL1,B-EL1,2026-03-22,2026-03-22,,,,U,HUMAN,HIPSC-CM,TRT,Treatment,ALFUZOSI
