STUDYID,DOMAIN,USUBJID,EGSEQ,EGREFID,EGTESTCD,EGTEST,EGORRES,EGORRESU,EGSTRESC,EGSTRESN,EGSTRESU,EGSTAT,EGMETHOD,EGBLFL,EGEVAL,VISITDY,EGDTC,EGDY,EGTPTREF,EPOCH
CIPA001,EG,CIPA001-A-EL2,1,chipA_ch1_baseline,FPD,FPD,402.8562,ms,402.8562,402.8562,ms,,DERIVED,Y,ALGORITHM,1,2026-03-22,1,BASELINE,BASELINE
CIPA001,EG,CIPA001-A-EL2,2,chipA_ch1_baseline,FPDCF,FPDcF,431.0911,ms,431.0911,431.0911,ms,,DERIVED,Y,ALGORITHM,1,2026-03-22,1,BASELINE,BASELINE
CIPA001,EG,CIPA001-A-EL2,3,chipA_ch1_baseline,BP,Beat Period,818.4749,ms,818.4749,818.4749,ms,,DERIVED,Y,ALGORITHM,1,2026-03-22,1,BASELINE,BASELINE
CIPA001,EG,CIPA001-A-EL2,4,chipA_ch1_baseline,SPIKEAM,Spike Amplitude,114.0610,uV,114.0610,114.061,uV,,DERIVED,Y,ALGORITHM,1,2026-03-22,1,BASELINE,BASELINE
CIPA001,EG,CIPA001-A-EL2,5,chipA_ch1_baseline,FPDCONF,FPD Confidence,0.7495,SCORE,0.7495,0.7495,SCORE,,DERIVED,Y,ALGORITHM,1,2026-03-22,1,BASELINE,BASELINE
CIPA001,EG,CIPA001-A-EL2,6,chipA_ch1_baseline,INTVL,Heart Rate,73.3071,beats/min,73.3071,73.3071,beats/min,,DERIVED,Y,ALGORITHM,1,2026-03-22,1,BASELINE,BASELINE
CIPA001,EG,CIPA001-A-EL2,7,chipA_ch1_baseline,QCGRADE,QC Grade,B,,B,,,,DERIVED,Y,ALGORITHM,1,2026-03-22,1,BASELINE,BASELINE
CIPA001,EG,CIPA001-A-EL2,8,chipA_ch1_baseline,RSKSCR,Arrhythmia Risk Score,0,SCORE,0,0.0,SCORE,,DERIVED,Y,ALGORITHM,1,2026-03-22,1,BASELINE,BASELINE
CIPA001,EG,CIPA001-A-EL2,9,chipA_ch1_baseline,MORPHIN,Morphology Instability,0.2902,SCORE,0.2902,0.2902,SCORE,,DERIVED,Y,ALGORITHM,1,2026-03-22,1,BASELINE,BASELINE
CIPA001,EG,CIPA001-A-EL2,10,chipA_ch1_baseline,EADPCT,EAD Incidence,0.0000,%,0.0000,0.0,%,,DERIVED,Y,ALGORITHM,1,2026-03-22,1,BASELINE,BASELINE
CIPA001,EG,CIPA001-A-EL1,1,chipA_ch1_terfe_1000nM,FPD,FPD,486.8228,ms,486.8228,486.8228,ms,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
CIPA001,EG,CIPA001-A-EL1,2,chipA_ch1_terfe_1000nM,FPDCF,FPDcF,427.0548,ms,427.0548,427.0548,ms,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
CIPA001,EG,CIPA001-A-EL1,3,chipA_ch1_terfe_1000nM,BP,Beat Period,1500.4873,ms,1500.4873,1500.4873,ms,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
CIPA001,EG,CIPA001-A-EL1,4,chipA_ch1_terfe_1000nM,SPIKEAM,Spike Amplitude,136.9943,uV,136.9943,136.9943,uV,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
CIPA001,EG,CIPA001-A-EL1,5,chipA_ch1_terfe_1000nM,FPDCONF,FPD Confidence,0.8796,SCORE,0.8796,0.8796,SCORE,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
CIPA001,EG,CIPA001-A-EL1,6,chipA_ch1_terfe_1000nM,INTVL,Heart Rate,39.9870,beats/min,39.9870,39.987,beats/min,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
CIPA001,EG,CIPA001-A-EL1,7,chipA_ch1_terfe_1000nM,QCGRADE,QC Grade,B,,B,,,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
CIPA001,EG,CIPA001-A-EL1,8,chipA_ch1_terfe_1000nM,FPDCFPC,FPDcF Pct Change,-0.9363,%,-0.9363,-0.9363,%,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
CIPA001,EG,CIPA001-A-EL1,9,chipA_ch1_terfe_1000nM,BPPCT,Beat Period Pct Change,83.3272,%,83.3272,83.3272,%,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
CIPA001,EG,CIPA001-A-EL1,10,chipA_ch1_terfe_1000nM,AMPPCT,Amplitude Pct Change,20.1062,%,20.1062,20.1062,%,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
CIPA001,EG,CIPA001-A-EL1,11,chipA_ch1_terfe_1000nM,TDPSCR,TdP Risk Score,0,SCORE,0,0.0,SCORE,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
CIPA001,EG,CIPA001-A-EL1,12,chipA_ch1_terfe_1000nM,SPECCHG,Spectral Change,0.4632,SCORE,0.4632,0.4632,SCORE,,DERIVED,,ALGORITHM,1,2026-03-22,1,TERFENADINE .1000 nM,TREATMENT
