STUDYID,DOMAIN,USUBJID,EXSEQ,EXTRT,EXDOSE,EXDOSU,EXDOSFRM,EXDOSFRQ,EXROUTE,EXSTDTC,EXSTDY,EXTPT,EXTPTNUM,EPOCH
CIPA001,EX,CIPA001-A-EL1,1,TERFENADINE,0.1,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-A-EL1,2,TERFENADINE,0.3,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T09:00,1,DOSE 2,2,TREATMENT
CIPA001,EX,CIPA001-A-EL1,3,TERFENADINE,0.8,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T10:00,1,DOSE 3,3,TREATMENT
CIPA001,EX,CIPA001-A-EL2,1,QUINIDINE,0.06,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-A-EL2,2,QUINIDINE,0.1,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T09:00,1,DOSE 2,2,TREATMENT
CIPA001,EX,CIPA001-A-EL2,3,QUINIDINE,10.0,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T10:00,1,DOSE 3,3,TREATMENT
CIPA001,EX,CIPA001-A-EL2,4,QUINIDINE,1.0,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T11:00,1,DOSE 4,4,TREATMENT
CIPA001,EX,CIPA001-A-EL1,4,QUINIDINE,30.0,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-A-EL2,5,QUINIDINE,3.0,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T12:00,1,DOSE 5,5,TREATMENT
CIPA001,EX,CIPA001-A-EL1,5,RANOLAZINE,0.0,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-A-EL1,6,RANOLAZINE,0.1,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T09:00,1,DOSE 2,2,TREATMENT
CIPA001,EX,CIPA001-A-EL1,7,RANOLAZINE,0.2,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T10:00,1,DOSE 3,3,TREATMENT
CIPA001,EX,CIPA001-A-EL1,8,RANOLAZINE,0.5,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T11:00,1,DOSE 4,4,TREATMENT
CIPA001,EX,CIPA001-C-EL1,1,ALFUZOSIN,0.1,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-C-EL2,1,ALFUZOSIN,0.1,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-C-EL2,2,ALFUZOSIN,0.3,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T09:00,1,DOSE 2,2,TREATMENT
CIPA001,EX,CIPA001-C-EL1,2,MEXILETINE,0.0,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-C-EL2,3,MEXILETINE,0.1,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-C-EL1,3,MEXILETINE,0.1,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T09:00,1,DOSE 2,2,TREATMENT
CIPA001,EX,CIPA001-C-EL2,4,MEXILETINE,0.0,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T09:00,1,DOSE 2,2,TREATMENT
CIPA001,EX,CIPA001-C-EL1,4,MEXILETINE,0.5,umol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T10:00,1,DOSE 3,3,TREATMENT
CIPA001,EX,CIPA001-D-EL1,1,ALFUZOSIN,0.1,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-D-EL2,1,ALFUZOSIN,0.1,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-D-EL2,2,ALFUZOSIN,0.3,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T09:00,1,DOSE 2,2,TREATMENT
CIPA001,EX,CIPA001-E-EL1,1,DOFETILIDE,0.0,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-E-EL2,1,DOFETILIDE,0.1,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T08:00,1,DOSE 1,1,TREATMENT
CIPA001,EX,CIPA001-E-EL2,2,DOFETILIDE,0.2,nmol/L,SOLUTION,ONCE,TOPICAL,2026-03-22T09:00,1,DOSE 2,2,TREATMENT
