STUDYID,DOMAIN,SETCD,SET,TXSEQ,TXPARMCD,TXPARM,TXVAL
CIPA001,TX,CONTROL,Control Group,1,TRT,Investigational Therapy or Treatment,VEHICLE
CIPA001,TX,CONTROL,Control Group,2,TCNTRL,Control Type,VEHICLE
CIPA001,TX,CONTROL,Control Group,3,SPGRPCD,Sponsor-Defined Group Code,CTRL
CIPA001,TX,CONTROL,Control Group,4,GRPLBL,Group Label,Vehicle Control
CIPA001,TX,CONTROL,Control Group,5,ARMCD,Arm Code,CTRL
CIPA001,TX,CONTROL,Control Group,6,TRTDOS,Dose Level,0
CIPA001,TX,CONTROL,Control Group,7,TRTDOSU,Dose Units,nmol/L
CIPA001,TX,CONTROL,Control Group,8,PLANMSUB,Planned Number of Male Subjects,0
CIPA001,TX,CONTROL,Control Group,9,PLANFSUB,Planned Number of Female Subjects,0
CIPA001,TX,ALFUZOSI,ALFUZOSIN Treatment Group,10,TRT,Investigational Therapy or Treatment,ALFUZOSIN
CIPA001,TX,ALFUZOSI,ALFUZOSIN Treatment Group,11,TCNTRL,Control Type,
CIPA001,TX,ALFUZOSI,ALFUZOSIN Treatment Group,12,SPGRPCD,Sponsor-Defined Group Code,ALFUZOSI
CIPA001,TX,ALFUZOSI,ALFUZOSIN Treatment Group,13,GRPLBL,Group Label,ALFUZOSIN Treatment
CIPA001,TX,ALFUZOSI,ALFUZOSIN Treatment Group,14,ARMCD,Arm Code,TRT
CIPA001,TX,ALFUZOSI,ALFUZOSIN Treatment Group,15,TRTDOS,Dose Level,MULTIPLE
CIPA001,TX,ALFUZOSI,ALFUZOSIN Treatment Group,16,TRTDOSU,Dose Units,nmol/L
CIPA001,TX,ALFUZOSI,ALFUZOSIN Treatment Group,17,PLANMSUB,Planned Number of Male Subjects,0
CIPA001,TX,ALFUZOSI,ALFUZOSIN Treatment Group,18,PLANFSUB,Planned Number of Female Subjects,0
CIPA001,TX,DOFETILI,DOFETILIDE Treatment Group,19,TRT,Investigational Therapy or Treatment,DOFETILIDE
CIPA001,TX,DOFETILI,DOFETILIDE Treatment Group,20,TCNTRL,Control Type,
CIPA001,TX,DOFETILI,DOFETILIDE Treatment Group,21,SPGRPCD,Sponsor-Defined Group Code,DOFETILI
CIPA001,TX,DOFETILI,DOFETILIDE Treatment Group,22,GRPLBL,Group Label,DOFETILIDE Treatment
CIPA001,TX,DOFETILI,DOFETILIDE Treatment Group,23,ARMCD,Arm Code,TRT
CIPA001,TX,DOFETILI,DOFETILIDE Treatment Group,24,TRTDOS,Dose Level,MULTIPLE
CIPA001,TX,DOFETILI,DOFETILIDE Treatment Group,25,TRTDOSU,Dose Units,nmol/L
CIPA001,TX,DOFETILI,DOFETILIDE Treatment Group,26,PLANMSUB,Planned Number of Male Subjects,0
CIPA001,TX,DOFETILI,DOFETILIDE Treatment Group,27,PLANFSUB,Planned Number of Female Subjects,0
CIPA001,TX,TERFENAD,TERFENADINE Treatment Group,28,TRT,Investigational Therapy or Treatment,TERFENADINE
CIPA001,TX,TERFENAD,TERFENADINE Treatment Group,29,TCNTRL,Control Type,
CIPA001,TX,TERFENAD,TERFENADINE Treatment Group,30,SPGRPCD,Sponsor-Defined Group Code,TERFENAD
CIPA001,TX,TERFENAD,TERFENADINE Treatment Group,31,GRPLBL,Group Label,TERFENADINE Treatment
CIPA001,TX,TERFENAD,TERFENADINE Treatment Group,32,ARMCD,Arm Code,TRT
CIPA001,TX,TERFENAD,TERFENADINE Treatment Group,33,TRTDOS,Dose Level,MULTIPLE
CIPA001,TX,TERFENAD,TERFENADINE Treatment Group,34,TRTDOSU,Dose Units,nmol/L
CIPA001,TX,TERFENAD,TERFENADINE Treatment Group,35,PLANMSUB,Planned Number of Male Subjects,0
CIPA001,TX,TERFENAD,TERFENADINE Treatment Group,36,PLANFSUB,Planned Number of Female Subjects,0
